TOWN_ID,PUB_ACCESS,LEV_PROT,GIS_ACRES,SHAPE_AREA,PRIM_PURP,Town,NAME,Households,Median income,,,
71.0,"X, Y, N, L","P, L, X, N",1609.62694089,6513928.82038263,"A, H, C, B, W, R",DANVERS,"Danvers town, Essex County, Massachusetts",10964,105654,,,
72.0,"N, X, Y, L","P, L, T, X, N",11687.24794679,47296613.71751590,"C, O, A, H, B, R, W",DARTMOUTH,"Dartmouth town, Bristol County, Massachusetts",11863,95404,,,
73.0,"Y, L, X, N","P, L, N",1499.12120663,6066724.238035610,"C, R, H, B, F, W",DEDHAM,"Dedham town, Norfolk County, Massachusetts",10458,108047,,,
74.0,"N, Y, L, X","P, L",4600.04290998,18615731.03969910,"W, A, C, H, B",DEERFIELD,"Deerfield town, Franklin County, Massachusetts",2237,90638,,,
75.0,"Y, L, X, N","P, L, T",3474.6725236,14061448.276315600,"C, R, O, H, W, B",DENNIS,"Dennis town, Barnstable County, Massachusetts",6989,70864,,,
76.0,"X, Y, L, N","P, L, N",953.3360036,3858014.235676580,"W, C, A, H, R, B",DIGHTON,"Dighton town, Bristol County, Massachusetts",2943,100307,,,
77.0,"Y, X, L, N","P, N, L",6753.63532641,27330982.95431140,"C, B, W, R",DOUGLAS,"Douglas town, Worcester County, Massachusetts",3133,135250,,,
78.0,"N, Y, X, L","P, L, N",3937.44171883,15934218.251505900,"C, H, B, A, W, R, F",DOVER,"Dover town, Norfolk County, Massachusetts",1916,"250,000",,,
79.0,"Y, X, L, N","P, N, L",1951.43142567,7897179.897147220,"R, C, W, H, A, B",DRACUT,"Dracut town, Middlesex County, Massachusetts",12370,95229,,,
80.0,"Y, L, N, X","L, P, N",2682.38177524,10855213.64059740,"R, C, H, W, A",DUDLEY,"Dudley town, Worcester County, Massachusetts",4199,75465,,,
81.0,"Y, N, L, X","P, L, N",3508.16270238,14197022.627847500,"C, R, H, A, B, W",DUNSTABLE,"Dunstable town, Middlesex County, Massachusetts",1136,177803,,,
82.0,"Y, L, X, N","L, P, N, T",5060.12604775,20477610.687323200,"H, C, R, W, B, O, A",DUXBURY,"Duxbury town, Plymouth County, Massachusetts",6092,130260,,,
83.0,"Y, X, L, N","P, L, N",1292.73659107,5231508.349125290,"C, H, R, W, B, A",EAST BRIDGEWATER,"East Bridgewater town, Plymouth County, Massachusetts",4949,110842,,,
84.0,"Y, N, L","L, P, N",1609.38991416,6512930.36433285,"H, C, B, W, R",EAST BROOKFIELD,"East Brookfield town, Worcester County, Massachusetts",835,70660,,,
85.0,"Y, X, L","L, P, N",806.78570021,3264945.8923731900,"H, C, R",EAST LONGMEADOW,"East Longmeadow town, Hampden County, Massachusetts",6011,95248,,,
86.0,"X, Y, N","P, N, L, X",3245.37145735,13133577.420299300,"C, R, B, O, H",EASTHAM,"Eastham town, Barnstable County, Massachusetts",2525,76859,,,
87.0,"Y, N, X, L","P, L, T, X",2073.96432071,8393034.73153589,"R, C, A, H, B, W",EASTHAMPTON,"Easthampton Town city, Hampshire County, Massachusetts",7796,63098,,,
88.0,"Y, X, L, N","L, P, N",6321.71065717,25583056.56486960,"R, C, H, W, A, B",EASTON,"Easton town, Bristol County, Massachusetts",8993,112116,,,
89.0,"L, X, Y, N","P, L, X, N",7069.4164823,28608955.74732660,"C, B, H, W, A, R",EDGARTOWN,"Edgartown town, Dukes County, Massachusetts",1401,73849,,,
90.0,"Y, N, X, L","P, L, N, X",4033.23952504,16321948.44141860,"C, A, B, H, R",EGREMONT,"Egremont town, Berkshire County, Massachusetts",591,79946,,,
91.0,"Y, L, X, N","L, P, X",3135.1751556,12687579.741443500,"H, B, C, R, A, W",ERVING,"Erving town, Franklin County, Massachusetts",681,66319,,,
92.0,"Y, N, X, L","P, L, N",3005.25958893,12161861.59331740,"C, H, A, R, W, O, B",ESSEX,"Essex town, Essex County, Massachusetts",1343,116027,,,
93.0,"Y, X","P, L",307.83026403,1245746.69643138,"R, H, B, C, F",EVERETT,"Everett city, Middlesex County, Massachusetts",17007,71510,,,
94.0,"Y, X, L, N","P, L, X, N, T",1891.65001144,7655235.99783575,"B, C, A, R, H, W",FAIRHAVEN,"Fairhaven town, Bristol County, Massachusetts",6872,79432,,,
95.0,"Y, N, X","P, L, T, N",10521.14296722,42577527.28563280,"R, H, W, C, B",FALL,"Fall River city, Bristol County, Massachusetts",40862,49613,,,
96.0,"Y, N, L, X","P, X, L, N, T",8142.33218518,32950883.459144300,"C, B, R, W, O, H, U",FALMOUTH,"Falmouth town, Barnstable County, Massachusetts",14043,78884,,,
97.0,"Y, N, X, L","P, L, N, X",3805.7870679,15401473.838137000,"R, C, A, W, H, B",FITCHBURG,"Fitchburg city, Worcester County, Massachusetts",16398,60466,,,
98.0,"Y, L","P, T",6291.25601611,25459801.8845733,"B, C",FLORIDA,"Florida town, Berkshire County, Massachusetts",318,74333,,,
99.0,"N, Y, X, L","P, L, N",3539.82490524,14325173.18466530,"A, C, R, W, H, B",FOXBOROUGH,"Foxborough town, Norfolk County, Massachusetts",7289,95410,,,
100.0,"Y, X, N, L","P, L, N, X",3402.86944155,13770924.054564200,"R, C, H, B, A, O, W, U",FRAMINGHAM,"Framingham city, Middlesex County, Massachusetts",27968,90638,,,
